pais;ano;quantidade_valor;quantidade_kg;type
peru;1973;0;0;importacao_vinhos_de_mesa
porto rico;1973;0;0;importacao_vinhos_de_mesa
portugal;1973;2238637;2818320;importacao_vinhos_de_mesa
reino unido;1973;0;0;importacao_vinhos_de_mesa
republica dominicana;1973;0;0;importacao_vinhos_de_mesa
romênia;1973;0;0;importacao_vinhos_de_mesa
russia;1973;0;0;importacao_vinhos_de_mesa
san marino;1973;0;0;importacao_vinhos_de_mesa
servia;1973;0;0;importacao_vinhos_de_mesa
siria;1973;0;0;importacao_vinhos_de_mesa
suazilaia;1973;0;0;importacao_vinhos_de_mesa
suica;1973;0;0;importacao_vinhos_de_mesa
tcheca, republica;1973;0;0;importacao_vinhos_de_mesa
tunisia;1973;0;0;importacao_vinhos_de_mesa
turquia;1973;0;0;importacao_vinhos_de_mesa
ucrania;1973;0;0;importacao_vinhos_de_mesa
uruguai;1973;0;0;importacao_vinhos_de_mesa
nao consta na tabela;1973;0;0;importacao_vinhos_de_mesa
nao declarados;1973;0;0;importacao_vinhos_de_mesa
outros;1973;5775;4306;importacao_vinhos_de_mesa
africa do sul;1974;0;0;importacao_vinhos_de_mesa
alemanha;1974;202502;219173;importacao_vinhos_de_mesa
argelia;1974;0;0;importacao_vinhos_de_mesa
arabia saudita;1974;0;0;importacao_vinhos_de_mesa
argentina;1974;167473;215930;importacao_vinhos_de_mesa
armênia;1974;0;0;importacao_vinhos_de_mesa
australia;1974;0;0;importacao_vinhos_de_mesa
austria;1974;7394;5301;importacao_vinhos_de_mesa
bermudas;1974;0;0;importacao_vinhos_de_mesa
belgica;1974;0;0;importacao_vinhos_de_mesa
bolivia;1974;0;0;importacao_vinhos_de_mesa
bosnia-herzegovina;1974;0;0;importacao_vinhos_de_mesa
brasil;1974;0;0;importacao_vinhos_de_mesa
bulgaria;1974;0;0;importacao_vinhos_de_mesa
canada;1974;0;0;importacao_vinhos_de_mesa
chile;1974;429885;550691;importacao_vinhos_de_mesa
china;1974;0;0;importacao_vinhos_de_mesa
coreia do sul, republica;1974;0;0;importacao_vinhos_de_mesa
croacia;1974;0;0;importacao_vinhos_de_mesa
cuba;1974;0;0;importacao_vinhos_de_mesa
emirados arabes unidos;1974;0;0;importacao_vinhos_de_mesa
eslovênia;1974;0;0;importacao_vinhos_de_mesa
eslovaquia;1974;0;0;importacao_vinhos_de_mesa
espanha;1974;215208;362577;importacao_vinhos_de_mesa
estados unidos;1974;0;0;importacao_vinhos_de_mesa
franca;1974;465175;316584;importacao_vinhos_de_mesa
georgia;1974;0;0;importacao_vinhos_de_mesa
georgia do sul e sawich do sul, ilhas;1974;0;0;importacao_vinhos_de_mesa
grecia;1974;0;0;importacao_vinhos_de_mesa
hong kong;1974;0;0;importacao_vinhos_de_mesa
hungria;1974;0;0;importacao_vinhos_de_mesa
ionesia;1974;0;0;importacao_vinhos_de_mesa
irlaa;1974;0;0;importacao_vinhos_de_mesa
israel;1974;0;0;importacao_vinhos_de_mesa
italia;1974;278089;305763;importacao_vinhos_de_mesa
japao;1974;0;0;importacao_vinhos_de_mesa
iugoslavia;1974;1804;2520;importacao_vinhos_de_mesa
