cod_produto;produto;ano;litros
derivados_mosto_simples;mosto_simples;1976;18220527
derivados_mosto_concentrado;mosto_concentrado;1976;0
derivados_mosto_de_uva_com_bagaco;mosto_de_uva_com_bagaco;1976;0
derivados_mosto_dessulfitado;mosto_dessulfitado;1976;0
derivados_mistelas;mistelas;1976;205500
derivados_nectar_de_uva;nectar_de_uva;1976;0
derivados_licorosos;licorosos;1976;4400
derivados_compostos;compostos;1976;0
derivados_jeropiga;jeropiga;1976;107500
derivados_filtrado;filtrado;1976;0
derivados_frisante;frisante;1976;0
derivados_vinho_leve;vinho_leve;1976;0
derivados_vinho_licoroso;vinho_licoroso;1976;0
derivados_brandy;brandy;1976;0
derivados_destilado;destilado;1976;0
derivados_bagaceira;bagaceira;1976;705912
derivados_licor_de_bagaceira;licor_de_bagaceira;1976;0
derivados_vinagre;vinagre;1976;288000
derivados_borra_liquida;borra_liquida;1976;3393173
derivados_borra_seca;borra_seca;1976;0
derivados_vinho_composto;vinho_composto;1976;0
derivados_pisco;pisco;1976;0
derivados_vinho_organico;vinho_organico;1976;0
derivados_espumante_organico;espumante_organico;1976;0
derivados_destilado_alcoolico_simples_de_bagaceira_;destilado_alcoolico_simples_de_bagaceira_;1976;0
derivados_vinho_acidificado_;vinho_acidificado_;1976;0
derivados_mosto_parcialmente_fermentado_;mosto_parcialmente_fermentado_;1976;0
derivados_outros_derivados;outros_derivados;1976;0
vinho_de_mesa;vinho_de_mesa;1977;195359778
vinho_mesa_tinto;tinto;1977;154801826
vinho_mesa_branco;branco;1977;4954387
vinho_mesa_rosado;rosado;1977;35603565
vinho_fino_de_mesa_vinifera;vinho_fino_de_mesa_vinifera;1977;41264971
vinho_viniferas_tinto;tinto;1977;16131758
vinho_viniferas_branco;branco;1977;20409231
vinho_viniferas_rosado;rosado;1977;4723982
suco;suco;1977;0
suco_de_uva_simples;suco_de_uva_integral;1977;0
suco_concentrado;suco_de_uva_concentrado;1977;0
suco_de_uva_adocado;suco_de_uva_adocado;1977;0
suco_de_uva_organico;suco_de_uva_organico;1977;0
suco_de_uva_reconstituido;suco_de_uva_reconstituido;1977;0
derivados;derivados;1977;24015856
derivados_espumante;espumante;1977;0
derivados_espumante_moscatel;espumante_moscatel;1977;0
derivados_base_espumante;base_espumante;1977;0
derivados_base_espumante_moscatel;base_espumante_moscatel;1977;0
derivados_base_champenoise_champanha;base_champenoise_champanha;1977;0
derivados_base_charmat_champanha;base_charmat_champanha;1977;0
derivados_bebida_de_uva;bebida_de_uva;1977;0
derivados_polpa_de_uva;polpa_de_uva;1977;0
derivados_mosto_simples;mosto_simples;1977;22097156
derivados_mosto_concentrado;mosto_concentrado;1977;0
derivados_mosto_de_uva_com_bagaco;mosto_de_uva_com_bagaco;1977;0
derivados_mosto_dessulfitado;mosto_dessulfitado;1977;0
derivados_mistelas;mistelas;1977;553200
derivados_nectar_de_uva;nectar_de_uva;1977;0
derivados_licorosos;licorosos;1977;525000
derivados_compostos;compostos;1977;0
derivados_jeropiga;jeropiga;1977;12500
derivados_filtrado;filtrado;1977;0
