cod_produto;produto;ano;litros
derivados_polpa_de_uva;POLPA DE UVA;1974;0
derivados_mosto_simples;MOSTO SIMPLES;1974;41346735
derivados_mosto_concentrado;MOSTO CONCENTRADO;1974;0
derivados_mosto_de_uva_com_bagaco;MOSTO DE UVA COM BAGAÇO;1974;0
derivados_mosto_dessulfitado;MOSTO DESSULFITADO;1974;0
derivados_mistelas;MISTELAS;1974;826300
derivados_nectar_de_uva;NÉCTAR DE UVA;1974;0
derivados_licorosos;LICOROSOS;1974;135000
derivados_compostos;COMPOSTOS;1974;0
derivados_jeropiga;JEROPIGA;1974;0
derivados_filtrado;FILTRADO;1974;0
derivados_frisante;FRISANTE;1974;0
derivados_vinho_leve;VINHO LEVE;1974;0
derivados_vinho_licoroso;VINHO LICOROSO;1974;0
derivados_brandy;BRANDY;1974;0
derivados_destilado;DESTILADO;1974;0
derivados_bagaceira;BAGACEIRA;1974;424620
derivados_licor_de_bagaceira;LICOR DE BAGACEIRA;1974;0
derivados_vinagre;VINAGRE;1974;35300
derivados_borra_liquida;BORRA LÍQUIDA;1974;5136979
derivados_borra_seca;BORRA SECA;1974;0
derivados_vinho_composto;VINHO COMPOSTO;1974;0
derivados_pisco;PISCO;1974;0
derivados_vinho_organico;VINHO ORGÂNICO;1974;0
derivados_espumante_organico;ESPUMANTE ORGÂNICO;1974;0
derivados_destilado_alcoolico_simples_de_bagaceira_;DESTILADO ALCOÓLICO SIMPLES DE BAGACEIRA ;1974;0
derivados_vinho_acidificado_;VINHO ACIDIFICADO ;1974;0
derivados_mosto_parcialmente_fermentado_;MOSTO PARCIALMENTE FERMENTADO ;1974;0
derivados_outros_derivados;OUTROS DERIVADOS;1974;0
vinho_de_mesa;VINHO DE MESA;1975;177401209
vinho_mesa_tinto;TINTO;1975;144274134
vinho_mesa_branco;BRANCO;1975;1441507
vinho_mesa_rosado;ROSADO;1975;31685568
vinho_fino_de_mesa_vinifera;VINHO FINO DE MESA (VINIFERA);1975;39424590
vinho_viniferas_tinto;TINTO;1975;14731106
vinho_viniferas_branco;BRANCO;1975;21933695
vinho_viniferas_rosado;ROSADO;1975;2759789
suco;SUCO;1975;0
suco_de_uva_simples;SUCO DE UVA INTEGRAL;1975;0
suco_concentrado;SUCO DE UVA CONCENTRADO;1975;0
suco_de_uva_adocado;SUCO DE UVA ADOÇADO;1975;0
suco_de_uva_organico;SUCO DE UVA ORGÂNICO;1975;0
suco_de_uva_reconstituido;SUCO DE UVA RECONSTITUÍDO;1975;0
derivados;DERIVADOS;1975;53633143
derivados_espumante;ESPUMANTE;1975;0
derivados_espumante_moscatel;ESPUMANTE MOSCATEL;1975;0
derivados_base_espumante;BASE ESPUMANTE;1975;0
derivados_base_espumante_moscatel;BASE ESPUMANTE MOSCATEL;1975;0
derivados_base_champenoise_champanha;BASE CHAMPENOISE CHAMPANHA;1975;0
derivados_base_charmat_champanha;BASE CHARMAT CHAMPANHA;1975;0
derivados_bebida_de_uva;BEBIDA DE UVA;1975;0
derivados_polpa_de_uva;POLPA DE UVA;1975;0
derivados_mosto_simples;MOSTO SIMPLES;1975;48185206
derivados_mosto_concentrado;MOSTO CONCENTRADO;1975;0
derivados_mosto_de_uva_com_bagaco;MOSTO DE UVA COM BAGAÇO;1975;0
derivados_mosto_dessulfitado;MOSTO DESSULFITADO;1975;0
derivados_mistelas;MISTELAS;1975;223000
derivados_nectar_de_uva;NÉCTAR DE UVA;1975;0
derivados_licorosos;LICOROSOS;1975;24000
derivados_compostos;COMPOSTOS;1975;0
derivados_jeropiga;JEROPIGA;1975;0
derivados_filtrado;FILTRADO;1975;0
derivados_frisante;FRISANTE;1975;0
derivados_vinho_leve;VINHO LEVE;1975;0
derivados_vinho_licoroso;VINHO LICOROSO;1975;0
derivados_brandy;BRANDY;1975;0
derivados_destilado;DESTILADO;1975;0
derivados_bagaceira;BAGACEIRA;1975;576098
derivados_licor_de_bagaceira;LICOR DE BAGACEIRA;1975;0
derivados_vinagre;VINAGRE;1975;0
derivados_borra_liquida;BORRA LÍQUIDA;1975;4624839
derivados_borra_seca;BORRA SECA;1975;0
derivados_vinho_composto;VINHO COMPOSTO;1975;0
derivados_pisco;PISCO;1975;0
derivados_vinho_organico;VINHO ORGÂNICO;1975;0
derivados_espumante_organico;ESPUMANTE ORGÂNICO;1975;0
derivados_destilado_alcoolico_simples_de_bagaceira_;DESTILADO ALCOÓLICO SIMPLES DE BAGACEIRA ;1975;0
derivados_vinho_acidificado_;VINHO ACIDIFICADO ;1975;0
